user_id,video_id,time_watched
10001,Xk_AQUnB8XY,2001-09-21 5:38
10001,R2r8qE2drnI,4/15/21 07:31:46
10001,SrlaSAEZccA,10/19/21 22:30:18
10001,pnF_4GY7qSE,1/20/21 19:16:37
10001,KuXq9XIzpFY,4/27/21 12:58:00
10001,cAMyCplQvoY,1/30/21 12:29:09
10001,sf7NfCe3_5Y,12/16/21 04:42:52
10001,UxQg3_Cmwhw,9/22/21 08:42:32
10001,ynLbBP15IAI,5/23/21 08:11:53
10001,P3wZ85Wq1pU,5/13/21 15:54:29
10001,jz04KzJg8EU,5/15/21 13:02:36
10001,xxGya7dCqfI,2009-06-21 10:13
10001,8dzGsnYKOS4,11/17/21 04:44:52
10001,TuPyVPdH814,7/25/21 00:33:50
10001,BB8o8-EdZY0,11/28/21 16:51:40
10001,wIIGCTIpRMk,1/28/21 13:47:28
10001,VhI2EpAIcm4,2008-10-21 4:22
10001,MsCye16rIgw,2005-12-21 21:20
10001,IuPABtlr-rM,2011-07-21 21:39
10001,u0PR11BKrTI,6/25/21 03:53:21
10001,q2zRmgjry5w,2011-08-21 23:01
10001,DTaFgkbz9GM,2002-04-21 23:55
10001,ibVWKiwIOIM,2007-04-21 6:33
10001,7aZj_XeqozA,2012-05-21 12:24
10001,z_M_2yBf824,7/15/21 15:18:00
10001,8mmEWomoev8,3/21/21 15:27:15
10001,71o8g30pru0,5/16/21 14:00:57
10001,L9ktrJDfa7s,2010-08-21 4:37
10001,VgWBX3vIHaw,9/27/21 23:11:16
10001,ACv0gcIczQw,4/28/21 05:32:42
10001,44fjX-rgJ7s,6/28/21 14:16:05
10001,svDYnfQxWM8,2009-11-21 8:18
10001,dkH-Nu23KEo,2003-02-21 2:49
10001,S9KxqRUcnCU,2006-01-21 4:46
10001,FQC29joihwU,2005-06-21 7:56
10001,A1q_lYMG4fo,10/23/21 06:31:39
10001,8zSRkr1nQNw,2005-12-21 9:02
10001,zI8wC1-qDOo,6/19/21 06:12:12
10001,JANApS0P4z8,1/28/21 15:06:57
10001,dqDc8vLnxM4,2008-03-21 12:02
10001,SM1w9PEQOE8,2004-07-21 19:18
10001,vdFZdgfgmUo,2001-02-21 7:49
10001,v3lTWi_Ncxs,2010-08-21 21:26
10001,UNdd_MotqrI,8/17/21 06:15:21
10001,C4OMOuLEsuM,11/15/21 17:21:11
10001,2riPWoeN-ZY,10/24/21 23:11:20
10001,CFatEWNx5RQ,9/16/21 09:35:55
10001,y8lFgF_IjPw,3/26/21 11:52:30
10001,zDaUwkfoH_g,1/26/21 05:30:02
10001,QXId3UwOyEc,2009-05-21 21:55
10001,oHSpDsMudcE,3/22/21 17:00:03
10001,UW_xEqCWrm0,2011-09-21 4:27
10001,UddlsDsoIWs,2011-01-21 21:34
10001,DQLhUs7-dkM,6/20/21 04:28:01
10001,jkiUKB6RwLw,2001-11-21 4:12
10001,SA7AIQw-7Ms,11/23/21 02:01:12
10001,5Blt_CJ29WQ,4/19/21 17:27:41
10001,S297Bixe5-g,9/30/21 00:52:36
10001,iMaNOSsWBpA,10/22/21 09:14:08
10002,YPZUkzgW_DQ,2011-12-21 5:58
10001,ex_sBZXU6iU,11/24/21 18:28:20
10004,fUyU3lKzoio,12/14/21 11:17:33
10005,fUyU3lKzoio,6/30/21 15:58:19
10006,72hlr-E7KA0,3/14/21 01:13:48
10002,Jz50eTT6y8g,2002-05-21 9:51
